chain1,chain2,tx1,tx2,bt1,bt2,from1,to1,from2,to2,sold_symbol_1,bought_symbol_1,sold_symbol_2,bought_symbol_2,generic_token_pair,sold_amt_1,buy_amt_1,sold_amt_2,buy_amt_2,raw_diff_pct_1,time_diff
ethereum,arbitrum,0x442d12c6f31183213a254100655e2d0d8e71b73d28de81ba191294f340ddba4a,0x66df3ec0a59ab663568fdff55e1440aadf5d9fd28b3119275da6d6a273fb8829,2023-09-01 22:31:47.000 UTC,2023-09-01 22:38:50.000 UTC,0x8cc1665ee965345e79b132adb124782bad8c78e0,0x1111111254eeb25477b68fb85ed929f73a960582,0x8cc1665ee965345e79b132adb124782bad8c78e0,0x1111111254eeb25477b68fb85ed929f73a960582,USDC,Silo,Silo,USDC,USDC_Silo,5000,153766.26556979996,153766.26556979996,5022.63902,0,423
arbitrum,polygon,0xe52d1a86db4c9d6c900a93dcbb84bde9a8a35e9f16ae00d57371002ac13a5742,0x619bf30bebb594e9ba2dddb3cc18055467ab782d0195c8a31bb44d6a1069dd29,2023-09-01 08:28:40.000 UTC,2023-09-01 08:56:35.000 UTC,0xf80b266123a89b864d81977a520eede73849e7cf,0x1111111254eeb25477b68fb85ed929f73a960582,0xf80b266123a89b864d81977a520eede73849e7cf,0x1111111254eeb25477b68fb85ed929f73a960582,ETH,agEUR,agEUR,WETH,WETH_agEUR,0.015,22.745080958615315,22.745080958615315,0.015000701549717712,0,1675
bnb,arbitrum,0x7b84375ac5c5befabc56997056d6df99b0a427283eefec75a313da733ec979b0,0xd52a4ecb775fd1e1fe1db7af270aabf21d7a7bb41b4d38cd405fa9957109c1f9,2023-09-01 10:26:03.000 UTC,2023-09-01 10:27:15.000 UTC,0x78ee025e72abbbb6b41dd8a65a4d180165e7537c,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0x78ee025e72abbbb6b41dd8a65a4d180165e7537c,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,ETH,JOE,JOE,WETH,WETH_JOE,0.5,2511.388468007416,2517.862855072304,0.5071978296759239,0.0025780109876926186,72
bnb,arbitrum,0x7b84375ac5c5befabc56997056d6df99b0a427283eefec75a313da733ec979b0,0x8431b74020c3384eaa109c87ba6ad000f491c3bbddfc3d5b29c7bac58a61bd23,2023-09-01 10:26:03.000 UTC,2023-09-01 10:28:54.000 UTC,0x78ee025e72abbbb6b41dd8a65a4d180165e7537c,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0x78ee025e72abbbb6b41dd8a65a4d180165e7537c,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,ETH,JOE,JOE,WETH,WETH_JOE,0.5,2511.388468007416,2498.99929162,0.5037975197947294,0.004933197928254421,171
zksync,arbitrum,0x01badc24f5e9c91cdaa9342da07f3f76bee133e8c46e70f142ab8ea377caaaab,0x07d9b0baff455d233523786c18af70c0240baf7d23cc316a7031d9be4ff0b7c7,2023-09-01 14:48:26.000 UTC,2023-09-01 14:48:32.000 UTC,0xc6d973b31bb135caba83cf0574c0347bd763ecc5,0x943ac2310d9bc703d6ab5e5e76876e212100f894,0xc6d973b31bb135caba83cf0574c0347bd763ecc5,0xe592427a0aece92de3edee1f18e0157c05861564,WETH,USDC.e,USDC,WETH,WETH_USDC,4.999999999999975,8150.023419,8145.041685,5,0.0006112539490851198,6
zksync,arbitrum,0x81bac87c176a1c4cab3ee432849970cb71516a17a0449470c9b80d713f5abb33,0x3945136d4d3652a7e5a5879ac7b533287ad499b4a04ef0bc655719325306e251,2023-09-01 14:49:16.000 UTC,2023-09-01 14:49:21.000 UTC,0xc6d973b31bb135caba83cf0574c0347bd763ecc5,0x943ac2310d9bc703d6ab5e5e76876e212100f894,0xc6d973b31bb135caba83cf0574c0347bd763ecc5,0xe592427a0aece92de3edee1f18e0157c05861564,WETH,USDC.e,USDC,WETH,WETH_USDC,4.9999999999999885,8125.215964,8124.151675,5,0.00013098593375430396,5
base,optimism,0xd1f4e0a84cf4d77f94cd3e178c1571d79603db3e001474dc47d0e2c8689e1ed7,0x8db07cc9ec8bb9e76c72120c5449901fa12d67c24e39efab08518b7dd5241bab,2023-09-01 19:25:05.000 UTC,2023-09-01 19:26:51.000 UTC,0x34327028c727613872cd80122b9a489a4b9c0bfa,0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,0x34327028c727613872cd80122b9a489a4b9c0bfa,0x1111111254eeb25477b68fb85ed929f73a960582,USDbC,TAROT,TAROT,USDC,USDC_TAROT,500,3917.0498247045743,3917.0498247045743,505.002816,0,106
base,optimism,0xd1f4e0a84cf4d77f94cd3e178c1571d79603db3e001474dc47d0e2c8689e1ed7,0xa6592362fb7681c37d91e1f404b0e1c81d73f391f2a1684054847583f39d8185,2023-09-01 19:25:05.000 UTC,2023-09-01 19:35:55.000 UTC,0x34327028c727613872cd80122b9a489a4b9c0bfa,0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,0x34327028c727613872cd80122b9a489a4b9c0bfa,0x1111111254eeb25477b68fb85ed929f73a960582,USDbC,TAROT,TAROT,USDC,USDC_TAROT,500,3917.0498247045743,3909.02992216774,504.645069,0.0020474343946950218,650
bnb,polygon,0xaad19615b2166d5a7c2d36cd6985dc527daa47c670aa5d238b5737ee56aedb66,0xb6a7e9849b564d34484de043ce5d869022ec49e352dd38d299f32c2929bf7165,2023-09-01 14:00:39.000 UTC,2023-09-01 14:01:01.000 UTC,0x09c9e37efc001fc9b849457a8fba96574f00c0ce,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x09c9e37efc001fc9b849457a8fba96574f00c0ce,0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff,XCAD,BUSD,USDC,XCAD,XCAD_USDC,39.519000951872314,49.86695790727868,49.891517,39.85205057718861,0.0004924922985473298,22
bnb,polygon,0xaad19615b2166d5a7c2d36cd6985dc527daa47c670aa5d238b5737ee56aedb66,0xcc62838f18406d943e761ae49ccffa78cba925e45c5040a2f7f19508712e8eaf,2023-09-01 14:00:39.000 UTC,2023-09-01 14:01:29.000 UTC,0x09c9e37efc001fc9b849457a8fba96574f00c0ce,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x09c9e37efc001fc9b849457a8fba96574f00c0ce,0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff,XCAD,BUSD,USDC,XCAD,XCAD_USDC,39.519000951872314,49.86695790727868,49.891516,39.80032639633186,0.000492472245188564,50
