chain1,chain2,tx1,tx2,bt1,bt2,from1,to1,from2,to2,sold_symbol_1,bought_symbol_1,sold_symbol_2,bought_symbol_2,generic_token_pair,sold_amt_1,buy_amt_1,sold_amt_2,buy_amt_2,raw_diff_pct_1,time_diff
arbitrum,bnb,0x290ef4c1f42eac00fd3440e0c3977b5b2fe958a8e4e97966a9c434545d738108,0x21eafbce728a1c88212775ccee504e174974acba27ae033fed1ec76609546703,2024-01-15 05:50:44.000 UTC,2024-01-15 06:23:43.000 UTC,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,WETH,OMNI,OMNI,ETH,WETH_OMNI,0.2,1451101.0063559401,1517678.5533444837,0.2017573994056831,0.045880711747099984,1979
arbitrum,base,0x290ef4c1f42eac00fd3440e0c3977b5b2fe958a8e4e97966a9c434545d738108,0xf3645a1e436226832d8b6a4a4c9acf851aec92be497c70c3f3b7d78823e10332,2024-01-15 05:50:44.000 UTC,2024-01-15 06:33:43.000 UTC,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x6bded42c6da8fbf0d2ba55b2fa120c5e0c8d7891,WETH,OMNI,OMNI,WETH,WETH_OMNI,0.2,1451101.0063559401,1553178.8530484203,0.20194091621473004,0.07034510088916685,2579
bnb,arbitrum,0xb2254ddd94af5474dba69420aeb2de25c3d794aba9bd98af569bbc6a31816337,0x48345f1fbd871d353e1ddc3434e9a4e9585c8454d1c885841f5016c19b72ce29,2024-01-15 05:23:09.000 UTC,2024-01-15 05:23:09.000 UTC,0x88a1b21dd8dd19e1b10453cbbc4bfc29f5dd93e5,0x621d67ab9a8517ef370ade977dabde773f0adbd8,0x88a1b21dd8dd19e1b10453cbbc4bfc29f5dd93e5,0x8368c63379a98303625d4901bcac0423ea79f3a7,FRM,USDT,USD₮0,FRM,FRM_USDC,13664.588243407925,913.2392428623627,914,14621.338919840104,0.0008330315890202195,0
bnb,ethereum,0x036a2c31f1e29a193828940ef941918ed7ac7d96ce939011fce8d8bd9ee6e587,0xee6441419201c6a77766f1cfe49ed377d60255f06072913295ea255ae4bb8885,2024-01-15 19:43:15.000 UTC,2024-01-15 20:34:47.000 UTC,0x13ff963fc8a3993f4269da5adcb07286a8616c6a,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x13ff963fc8a3993f4269da5adcb07286a8616c6a,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,ETH,HELLO,HELLO,WETH,WETH_HELLO,0.598267747767115,9413.713898407199,9180.937924618378,0.6060238770093896,0.02472732614363887,3092
ethereum,bnb,0xe0df66ffb27263c55f2a5d95593982a5b04f6f00026d94d6aa6679f5c7686e89,0x41ab1aaed37de4e42db35d747a87bad67109e3ecbf76eb889bee6ee19b0d71f4,2024-01-15 01:33:59.000 UTC,2024-01-15 01:37:40.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x0d21639a4a86c5516c17d7454cc2d67c97afffb7,PAID,WETH,ETH,PAID,PAID_WETH,7783.468637702787,1.0091935703799388,1,7787.339321386673,0.009109818621295484,221
ethereum,bnb,0xe0df66ffb27263c55f2a5d95593982a5b04f6f00026d94d6aa6679f5c7686e89,0x2937a31e2babb1497c82354fe16dbf32bc21c41d9992422e3ca64055f39f4fbc,2024-01-15 01:33:59.000 UTC,2024-01-15 02:09:35.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x0d21639a4a86c5516c17d7454cc2d67c97afffb7,PAID,WETH,ETH,PAID,PAID_WETH,7783.468637702787,1.0091935703799388,1,8069.2845439797,0.009109818621295484,2136
arbitrum,bnb,0x8a5d71588577011d39195c2cb45ad0d5f55302aea0aa76501a7438e433068fc5,0x9da61936fbe92b44bf90b2fafa855a1860279f47b418fee3d8aefc19b8ff8c80,2024-01-15 05:11:18.000 UTC,2024-01-15 05:11:39.000 UTC,0xbf0db815a49bab27454404960c067311b5ebd15c,0xf332761c673b59b21ff6dfa8ada44d78c12def09,0xbf0db815a49bab27454404960c067311b5ebd15c,0x9333c74bdd1e118634fe5664aca7a9710b108bab,USD₮0,RDP,RDP,USDT,USDC_RDP,500,503.4969821022355,503.49,506.5574143481462,0.000013867217647154637,21
arbitrum,bnb,0x8a5d71588577011d39195c2cb45ad0d5f55302aea0aa76501a7438e433068fc5,0xf85e5f9efd7f215e45fbe5b8511871490ac4423dc7446c43173cd43c67d031cc,2024-01-15 05:11:18.000 UTC,2024-01-15 05:12:48.000 UTC,0xbf0db815a49bab27454404960c067311b5ebd15c,0xf332761c673b59b21ff6dfa8ada44d78c12def09,0xbf0db815a49bab27454404960c067311b5ebd15c,0x9333c74bdd1e118634fe5664aca7a9710b108bab,USD₮0,RDP,RDP,USDT,USDC_RDP,500,503.4969821022355,501.45,502.98311699802866,0.004065530032948393,90
arbitrum,bnb,0x8a5d71588577011d39195c2cb45ad0d5f55302aea0aa76501a7438e433068fc5,0x176dc26468bfafee6eb52acec83762cb01396e84ddafa43816cb4a640e63d4d9,2024-01-15 05:11:18.000 UTC,2024-01-15 05:36:13.000 UTC,0xbf0db815a49bab27454404960c067311b5ebd15c,0xf332761c673b59b21ff6dfa8ada44d78c12def09,0xbf0db815a49bab27454404960c067311b5ebd15c,0x9333c74bdd1e118634fe5664aca7a9710b108bab,USD₮0,RDP,RDP,USDT,USDC_RDP,500,503.4969821022355,500.83900000000006,502.91025066370685,0.005279042768315432,1495
ethereum,arbitrum,0x5ec1624e25574c84d024582cfb59814c42296e72768a979e6af428056735ecc1,0x01c1ddbfd19ba8840f405581a7c7c258d0fe6a4a9b63ed0534cbe014798a198a,2024-01-15 12:03:59.000 UTC,2024-01-15 12:11:38.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,WETH,CTX,CTX,ETH,WETH_CTX,0.2,264.3731238177534,264.3731238177534,0.20963347151514392,0,459
